Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 27 2013,10:30 pm,New York Knicks,80,Los Angeles Clippers,93,Box Score,,19270,
Wed Nov 27 2013,8:00 pm,Washington Wizards,100,Milwaukee Bucks,92,Box Score,OT,11584,
Wed Nov 27 2013,8:00 pm,Denver Nuggets,117,Minnesota Timberwolves,110,Box Score,,14244,
Wed Nov 27 2013,8:00 pm,San Antonio Spurs,88,Oklahoma City Thunder,94,Box Score,,18203,
Wed Nov 27 2013,7:00 pm,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,15839,
Wed Nov 27 2013,9:00 pm,Portland Trail Blazers,106,Phoenix Suns,120,Box Score,,12731,
Fri Nov 29 2013,7:30 pm,Dallas Mavericks,87,Atlanta Hawks,88,Box Score,,15463,
Fri Nov 29 2013,7:30 pm,Cleveland Cavaliers,86,Boston Celtics,103,Box Score,,17685,
Fri Nov 29 2013,7:00 pm,Milwaukee Bucks,76,Charlotte Bobcats,92,Box Score,,15081,
Fri Nov 29 2013,9:00 pm,New York Knicks,95,Denver Nuggets,97,Box Score,,19155,
Fri Nov 29 2013,7:30 pm,Los Angeles Lakers,106,Detroit Pistons,102,Box Score,,15202,
Fri Nov 29 2013,8:00 pm,Brooklyn Nets,95,Houston Rockets,114,Box Score,,18138,
Fri Nov 29 2013,8:00 pm,Washington Wizards,73,Indiana Pacers,93,Box Score,,18165,
Fri Nov 29 2013,8:00 pm,Golden State Warriors,112,Oklahoma City Thunder,113,Box Score,OT,18203,
Fri Nov 29 2013,7:00 pm,San Antonio Spurs,109,Orlando Magic,91,Box Score,,15159,
Fri Nov 29 2013,8:00 pm,New Orleans Pelicans,121,Philadelphia 76ers,105,Box Score,,17807,
Fri Nov 29 2013,10:00 pm,Los Angeles Clippers,104,Sacramento Kings,98,Box Score,OT,17317,
Fri Nov 29 2013,7:00 pm,Miami Heat,90,Toronto Raptors,83,Box Score,,18290,
Fri Nov 29 2013,9:00 pm,Phoenix Suns,112,Utah Jazz,101,Box Score,,18435,
Sat Nov 30 2013,7:30 pm,Chicago Bulls,93,Cleveland Cavaliers,97,Box Score,,17296,
Sat Nov 30 2013,8:30 pm,Minnesota Timberwolves,112,Dallas Mavericks,106,Box Score,,20173,
Sat Nov 30 2013,8:00 pm,Brooklyn Nets,97,Memphis Grizzlies,88,Box Score,,17012,
Sat Nov 30 2013,9:00 pm,Boston Celtics,85,Milwaukee Bucks,92,Box Score,,15471,
Sat Nov 30 2013,9:00 pm,Utah Jazz,112,Phoenix Suns,104,Box Score,,12957,
Sat Nov 30 2013,8:30 pm,Houston Rockets,112,San Antonio Spurs,106,Box Score,,18581,
Sat Nov 30 2013,7:00 pm,Atlanta Hawks,101,Washington Wizards,108,Box Score,,14280,
Sun Dec 1 2013,3:30 pm,Philadelphia 76ers,100,Detroit Pistons,115,Box Score,,14107,
Sun Dec 1 2013,3:30 pm,Indiana Pacers,105,Los Angeles Clippers,100,Box Score,,19060,
Sun Dec 1 2013,9:30 pm,Portland Trail Blazers,114,Los Angeles Lakers,108,Box Score,,18997,
Sun Dec 1 2013,6:00 pm,Charlotte Bobcats,98,Miami Heat,99,Box Score,,19617,
Sun Dec 1 2013,7:30 pm,New Orleans Pelicans,103,New York Knicks,99,Box Score,,19812,
Sun Dec 1 2013,7:00 pm,Minnesota Timberwolves,103,Oklahoma City Thunder,113,Box Score,,18203,
Sun Dec 1 2013,6:00 pm,Golden State Warriors,115,Sacramento Kings,113,Box Score,,15588,
Sun Dec 1 2013,1:00 pm,Denver Nuggets,112,Toronto Raptors,98,Box Score,,16290,
Mon Dec 2 2013,8:00 pm,New Orleans Pelicans,131,Chicago Bulls,128,Box Score,3OT,21615,
Mon Dec 2 2013,10:00 pm,Indiana Pacers,102,Portland Trail Blazers,106,Box Score,,19023,
Mon Dec 2 2013,8:30 pm,Atlanta Hawks,100,San Antonio Spurs,102,Box Score,,17318,
Mon Dec 2 2013,9:00 pm,Houston Rockets,103,Utah Jazz,109,Box Score,,15801,
Mon Dec 2 2013,7:00 pm,Orlando Magic,80,Washington Wizards,98,Box Score,,12809,
Tue Dec 3 2013,7:30 pm,Milwaukee Bucks,100,Boston Celtics,108,Box Score,,16649,
